卡ID	卡名	角色名	稀有度	类型	总段数	挂载方式	各段Story ID
10023	[智]大和赤骥	ダイワスカーレット	1	1	0	chara_shared	S0:801009001,801009002,801009003
10024	[力]菱亚马逊	ヒシアマゾン	1	1	0	chara_shared	S0:801012001,801012002,801012003
10025	[根]气槽	エアグルーヴ	1	1	0	chara_shared	S0:801018001,801018002,801018003
10026	[力]爱丽数码	アグネスデジタル	1	1	0	chara_shared	S0:801019001,801019002,801019003
10027	[耐]玉藻十字	タマモクロス	1	1	0	chara_shared	S0:801021001,801021002,801021003
10028	[智]美妙姿势	ファインモーション	1	1	0	chara_shared	S0:801022001,801022002,801022003
10029	[力]琵琶晨光	ビワハヤヒデ	1	1	0	chara_shared	S0:801023001,801023002,801023003
10030	[耐]摩耶重炮	マヤノトップガン	1	1	0	chara_shared	S0:801024001,801024002,801024003
10031	[耐]曼城茶座	マンハッタンカフェ	1	1	0	chara_shared	S0:801025001,801025002,801025003
10032	[力]美浦波旁	ミホノブルボン	1	1	0	chara_shared	S0:801026001,801026002,801026003
10033	[力]目白赖恩	メジロライアン	1	1	0	chara_shared	S0:801027001,801027002,801027003
10034	[根]雪之美人	ユキノビジン	1	1	0	chara_shared	S0:801029001,801029002,801029003
10035	[根]艾尼斯风神	アイネスフウジン	1	1	0	chara_shared	S0:801031001,801031002,801031003
10036	[智]爱丽速子	アグネスタキオン	1	1	0	chara_shared	S0:801032001,801032002,801032003
10037	[智]空中神宫	エアシャカール	1	1	0	chara_shared	S0:801036001,801036002,801036003
10038	[速]荣进闪耀	エイシンフラッシュ	1	1	0	chara_shared	S0:801037001,801037002,801037003
10039	[力]醒目飞鹰	スマートファルコン	1	1	0	chara_shared	S0:801046001,801046002,801046003
10040	[速]成田大进	ナリタタイシン	1	1	0	chara_shared	S0:801050001,801050002,801050003
10041	[速]西野花	ニシノフラワー	1	1	0	chara_shared	S0:801051001,801051002,801051003
10042	[速]微光飞驹	ビコーペガサス	1	1	0	chara_shared	S0:801054001,801054002,801054003
10043	[智]美丽周日	マーベラスサンデー	1	1	0	chara_shared	S0:801055001,801055002,801055003
10044	[智]待兼福来	マチカネフクキタル	1	1	0	chara_shared	S0:801056001,801056002,801056003
10045	[根]名将怒涛	メイショウドトウ	1	1	0	chara_shared	S0:801058001,801058002,801058003
10046	[智]目白多伯	メジロドーベル	1	1	0	chara_shared	S0:801059001,801059002,801059003
10047	[根]优秀素质	ナイスネイチャ	1	1	0	chara_shared	S0:801060001,801060002,801060003
10048	[速]圣王光环	キングヘイロー	1	1	0	chara_shared	S0:801061001,801061002,801061003
10049	[智]富士奇石	フジキセキ	1	1	0	chara_shared	S0:801005001,801005002,801005003
10050	[速]东商变革	スイープトウショウ	1	1	0	chara_shared	S0:801044001,801044002,801044003
10051	[速]双涡轮	ツインターボ	1	1	0	chara_shared	S0:801066001,801066002,801066003
10052	[力]大拓太阳神	ダイタクヘリオス	1	1	0	chara_shared	S0:801065001,801065002,801065003
10053	[智]生野狄杜斯	イクノディクタス	1	1	0	chara_shared	S0:801063001,801063002,801063003
10054	[根]目白善信	メジロパーマー	1	1	0	chara_shared	S0:801064001,801064002,801064003
10055	[速]北部玄驹	キタサンブラック	1	1	0	chara_shared	S0:801068001,801068002,801068003
10056	[耐]里见光钻	サトノダイヤモンド	1	1	0	chara_shared	S0:801067001,801067002,801067003
10057	[根]待兼诗歌剧	マチカネタンホイザ	1	1	0	chara_shared	S0:801062001,801062002,801062003
10058	[力]八重无敌	ヤエノムテキ	1	1	0	chara_shared	S0:801072001,801072002,801072003
10059	[耐]荒漠英雄	ゼンノロブロイ	1	1	0	chara_shared	S0:801047001,801047002,801047003
10060	[友]樫本理子	樫本理子	1	0	5	card+chara_shared	S0:809006033,400006114,400006115,400006124,809006001,809006002,809006003,809006004,809006009,809006010,809006011 | S1:809006005 | S2:809006006 | S3:809006007 | S4:809006008 | S5:830036001
10061	[根]采珠	シーキングザパール	1	1	0	chara_shared	S0:801042001,801042002,801042003
10062	[耐]樱花千代王	サクラチヨノオー	1	1	0	chara_shared	S0:801069001,801069002,801069003
10063	[速]川上公主	カワカミプリンセス	1	1	0	chara_shared	S0:801039001,801039002,801039003
10064	[根]菱曙	ヒシアケボノ	1	1	0	chara_shared	S0:801028001,801028002,801028003
10065	[力]青竹回忆	バンブーメモリー	1	1	0	chara_shared	S0:801053001,801053002,801053003
10066	[速]新光风	シンコウウインディ	1	1	0	chara_shared	S0:801043001,801043002,801043003
10067	[耐]中山庆典	ナカヤマフェスタ	1	1	0	chara_shared	S0:801049001,801049002,801049003
10068	[力]稻荷一	イナリワン	1	1	0	chara_shared	S0:801034001,801034002,801034003
10069	[智]目白阿尔丹	メジロアルダン	1	1	0	chara_shared	S0:801071001,801071002,801071003
10070	[耐]东瀛佐敦	トーセンジョーダン	1	1	0	chara_shared	S0:801048001,801048002,801048003
10071	[根]天狼星象征	シリウスシンボリ	1	1	0	chara_shared	S0:801070001,801070002,801070003
10072	[速]成田白仁	ナリタブライアン	1	1	0	chara_shared	S0:801016001,801016002,801016003
10073	[智]真机伶	カレンチャン	1	1	0	chara_shared	S0:801038001,801038002,801038003
10074	[友]安心泽刺刺美	安心沢刺々美	1	0	3	card+chara_shared	S0:809005033,400006114,400006115,400006123,400006124,809005001,809005002,809005003,809005004,809005009,809005010,809005011,809005012 | S1:809005005 | S2:809005006 | S3:830080001
10075	[力]爱慕织姬	アドマイヤベガ	1	1	0	chara_shared	S0:801033001,801033002,801033003
10076	[耐]目白光明	メジロブライト	1	1	0	chara_shared	S0:801074001,801074002,801074003
10077	[速]成田路	ナリタトップロード	1	1	0	chara_shared	S0:801077001,801077002,801077003
10078	[智]千明代表	ミスターシービー	1	1	0	chara_shared	S0:801057001,801057002,801057003
10079	[力]第一红宝石	ダイイチルビー	1	1	0	chara_shared	S0:801085001,801085002,801085003
10080	[根]凯斯奇迹	ケイエスミラクル	1	1	0	chara_shared	S0:801093001,801093002,801093003
10081	[根]鹤丸刚志	ツルマルツヨシ	1	1	0	chara_shared	S0:801073001,801073002,801073003
10082	[耐]吉兆	シンボリクリスエス	1	1	0	chara_shared	S0:801083001,801083002,801083003
10083	[友]轻柔致意	ライトハロー	1	0	5	card+chara_shared	S0:809008033,400006114,400006115,400006124,809008001,809008002,809008003,809008004,809008009,809008010,809008011 | S1:809008005 | S2:809008006 | S3:809008007 | S4:809008008 | S5:830052001
10084	[力]谷野美酒	タニノギムレット	1	1	0	chara_shared	S0:801084001,801084002,801084003
10085	[耐]樱花桂冠	サクラローレル	1	1	0	chara_shared	S0:801076001,801076002,801076003
10086	[根]也文摄辉	ヤマニンゼファー	1	1	0	chara_shared	S0:801078001,801078002,801078003
10087	[速]真弓快车	アストンマーチャン	1	1	0	chara_shared	S0:801087001,801087002,801087003
10088	[智]目白高峰	メジロラモーヌ	1	1	0	chara_shared	S0:801086001,801086002,801086003
10089	[速]森林宝穴	ジャングルポケット	1	1	0	chara_shared	S0:801094001,801094002,801094003
10090	[耐]北港火山	ホッコータルマエ	1	1	0	chara_shared	S0:801099001,801099002
10091	[速]葛城王牌	カツラギエース	1	1	0	chara_shared	S0:801104001,801104002,801104003
10092	[根]小林历奇	コパノリッキー	1	1	0	chara_shared	S0:801098001,801098002,801098003
10093	[力]奇锐骏	ワンダーアキュート	1	1	0	chara_shared	S0:801100001,801100002,801100003
10094	[友]佐岳五月	佐岳メイ	1	0	5	card+chara_shared	S0:809043033,400006114,400006115,400006124,809043001,809043002,809043003,809043004,809043009,809043010,809043011 | S1:809043005 | S2:809043006 | S3:809043007 | S4:809043008 | S5:830160001
10095	[根]跳舞城	タップダンスシチー	1	1	0	chara_shared	S0:801107001,801107002
10096		スティルインラブ	1	1	0	chara_shared	S0:801097001,801097002
10097	[根]极峰	ヴィルシーナ	1	1	0	chara_shared	S0:801090001,801090002
10098	[耐]万籁争鸣	サウンズオブアース	1	1	0	chara_shared	S0:801102001,801102002
10099	[根]强击	ヴィブロス	1	1	0	chara_shared	S0:801091001,801091002
10100	[力]莱斯莱斯	ロイスアンドロイス	1	1	0	chara_shared	S0:801103001,801103002
10101	[速]大鸣大放	ドゥラメンテ	1	1	0	chara_shared	S0:801108001,801108002
10102	[智]北方飞翔	ノースフライト	1	1	0	chara_shared	S0:801082001,801082002
10103	[根]黄金巨匠	オルフェーヴル	1	1	0	chara_shared	S0:801115001,801115002
10104	[友]都留岐凉花	都留岐涼花	1	0	5	card+chara_shared	S0:809044033,400006114,400006115,400006124,809044001,809044002,809044003,809044004,809044009,809044010,809044011 | S1:809044005 | S2:809044006 | S3:809044007 | S4:809044008 | S5:830188001
10105	[耐]高尚骏逸	シュヴァルグラン	1	1	0	chara_shared	S0:801089001,801089002
10106		ネオユニヴァース	1	1	0	chara_shared	S0:801105001,801105002
10107		ヒシミラクル	1	1	0	chara_shared	S0:801106001,801106002
10108		ダンツフレーム	1	1	0	chara_shared	S0:801092001,801092002
10109		秋川理事長	1	0	5	card+chara_shared	S0:809002033,400006114,400006115,400006124,809002001,809002002,809002003,809002004,809002009,809002010,809002011 | S1:809002005 | S2:809002006 | S3:809002007 | S4:809002008 | S5:830207001
10110		エスポワールシチー	1	1	0	chara_shared	S0:801081001,801081002
10111		バブルガムフェロー	1	1	0	chara_shared	S0:801124001,801124002
10113	[速]贵妇人	ジェンティルドンナ	1	1	0	chara_shared	S0:801116001,801116002
10114	[根]莱茵力量	ラインクラフト	1	1	0	chara_shared	S0:801109001,801109002
10115		シーザリオ	1	1	0	chara_shared	S0:801110001,801110002
10116		ブラストワンピース	1	1	0	chara_shared	S0:801128001,801128002
10117		ノーリーズン	1	1	0	chara_shared	S0:801096001,801096002
10118		ブエナビスタ	1	1	0	chara_shared	S0:801114001,801114002
10119		ドリームジャーニー	1	1	0	chara_shared	S0:801119001,801119002
10120		デアリングタクト	1	1	0	chara_shared	S0:801075001,801075002
10121		デアリングハート	1	1	0	chara_shared	S0:801112001,801112002
10122		アーモンドアイ	1	1	0	chara_shared	S0:801129001,801129002
10123		ラッキーライラック	1	1	0	chara_shared	S0:801130001,801130002
10124		グランアレグリア	1	1	0	chara_shared	S0:801131001,801131002
10125		トランセンド	1	1	0	chara_shared	S0:801080001,801080002
10126		カレンブーケドール	1	1	0	chara_shared	S0:801134001,801134002
10127		エアメサイア	1	1	0	chara_shared	S0:801111001,801111002
10128		タッカーブライン	1	0	5	card+chara_shared	S0:809049033,400006114,400006115,400006124,809049001,809049021,809049022,809049023,809049031,809049032 | S1:809049002,809049002,809049011 | S2:809049003,809049003,809049012 | S3:809049013 | S4:809049014 | S5:809049015
10129		フサイチパンドラ	1	1	0	chara_shared	S0:801113001,801113002
10131		ウインバリアシオン	1	1	0	chara_shared	S0:801117001,801117002
10132		ステイゴールド	1	1	0	chara_shared	S0:801135001,801135002
10133		アドマイヤグルーヴ	1	1	0	chara_shared	S0:801118001,801118002
10134		クロノジェネシス	1	1	0	chara_shared	S0:801133001,801133002
10135		カルストンライトオ	1	1	0	chara_shared	S0:801120001,801120002
10136		デュランダル	1	1	0	chara_shared	S0:801121001,801121002
10137		サクラチトセオー	1	1	0	chara_shared	S0:801126001,801126002
10138		保科健子	1	0	5	card+chara_shared	S0:809050033,400006114,400006115,400006124,809050001,809050021,809050022,809050023,809050031,809050032 | S1:809050002,809050002,809050011 | S2:809050003,809050003,809050012 | S3:809050013 | S4:809050014 | S5:809050015
10139		フェノーメノ	1	1	0	chara_shared	S0:801127001,801127002
10140		フォーエバーヤング	1	1	0	chara_shared	S0:801138001,801138002
10141		カジノドライヴ	1	0	5	card+chara_shared	S0:801139033,400006114,400006115,400006124,801139001,801139021,801139022,801139023,801139031,801139032 | S1:801139002,801139002,801139011 | S2:801139003,801139003,801139012 | S3:801139013 | S4:801139014 | S5:801139015
10142		レッドディザイア	1	1	0	chara_shared	S0:801136001,801136002
10143		ヴィクトワールピサ	1	1	0	chara_shared	S0:801143001,801143002
10144		マルシュロレーヌ	1	1	0	chara_shared	S0:801140001,801140002
20001	[智]富士奇石	フジキセキ	2	1	2	card+chara_shared	S0:801005001,801005002,801005003 | S1:820001001 | S2:820001002
20002	[智]大和赤骥	ダイワスカーレット	2	1	2	card+chara_shared	S0:801009001,801009002,801009003 | S1:820002001 | S2:820002002
20003	[力]菱亚马逊	ヒシアマゾン	2	1	2	card+chara_shared	S0:801012001,801012002,801012003 | S1:820003001 | S2:820003002
20004	[根]气槽	エアグルーヴ	2	1	2	card+chara_shared	S0:801018001,801018002,801018003 | S1:820004001 | S2:820004002
20005	[力]爱丽数码	アグネスデジタル	2	1	2	card+chara_shared	S0:801019001,801019002,801019003 | S1:820005001 | S2:820005002
20006	[力]琵琶晨光	ビワハヤヒデ	2	1	2	card+chara_shared	S0:801023001,801023002,801023003 | S1:820006001 | S2:820006002
20007	[耐]摩耶重炮	マヤノトップガン	2	1	2	card+chara_shared	S0:801024001,801024002,801024003 | S1:820007001 | S2:820007002
20008	[耐]曼城茶座	マンハッタンカフェ	2	1	2	card+chara_shared	S0:801025001,801025002,801025003 | S1:820008001 | S2:820008002
20009	[力]美浦波旁	ミホノブルボン	2	1	2	card+chara_shared	S0:801026001,801026002,801026003 | S1:820009001 | S2:820009002
20010	[力]目白赖恩	メジロライアン	2	1	2	card+chara_shared	S0:801027001,801027002,801027003 | S1:820010001 | S2:820010002
20011	[根]雪之美人	ユキノビジン	2	1	2	card+chara_shared	S0:801029001,801029002,801029003 | S1:820011001 | S2:820011002
20012	[智]爱丽速子	アグネスタキオン	2	1	2	card+chara_shared	S0:801032001,801032002,801032003 | S1:820012001 | S2:820012002
20013	[速]荣进闪耀	エイシンフラッシュ	2	1	2	card+chara_shared	S0:801037001,801037002,801037003 | S1:820013001 | S2:820013002
20014	[速]成田大进	ナリタタイシン	2	1	2	card+chara_shared	S0:801050001,801050002,801050003 | S1:820014001 | S2:820014002
20015	[智]美丽周日	マーベラスサンデー	2	1	2	card+chara_shared	S0:801055001,801055002,801055003 | S1:820015001 | S2:820015002
20016	[智]待兼福来	マチカネフクキタル	2	1	2	card+chara_shared	S0:801056001,801056002,801056003 | S1:820016001 | S2:820016002
20017	[根]名将怒涛	メイショウドトウ	2	1	2	card+chara_shared	S0:801058001,801058002,801058003 | S1:820017001 | S2:820017002
20018	[智]目白多伯	メジロドーベル	2	1	2	card+chara_shared	S0:801059001,801059002,801059003 | S1:820018001 | S2:820018002
20019	[根]优秀素质	ナイスネイチャ	2	1	2	card+chara_shared	S0:801060001,801060002,801060003 | S1:820019001 | S2:820019002
20020	[速]圣王光环	キングヘイロー	2	1	2	card+chara_shared	S0:801061001,801061002,801061003 | S1:820020001 | S2:820020002
20021	[友]桐生院葵	桐生院トレーナー	2	0	5	chara_shared	S0:400006114,400006115,400006124,809004001,809004002,809004003,809004004,809004009,809004010,809004011 | S1:809004005 | S2:809004006 | S3:809004007 | S4:809004008 | S5:820021001
20022	[根]玉藻十字	タマモクロス	2	1	2	card+chara_shared	S0:801021001,801021002,801021003 | S1:820022001 | S2:820022002
20023	[速]东商变革	スイープトウショウ	2	1	2	card+chara_shared	S0:801044001,801044002,801044003 | S1:820023001 | S2:820023002
20024	[力]大拓太阳神	ダイタクヘリオス	2	1	2	card+chara_shared	S0:801065001,801065002,801065003 | S1:820024001 | S2:820024002
20025	[智]生野狄杜斯	イクノディクタス	2	1	2	card+chara_shared	S0:801063001,801063002,801063003 | S1:820025001 | S2:820025002
20026	[智]优秀素质	ナイスネイチャ	2	1	2	card+chara_shared	S0:801060001,801060002,801060003 | S1:820026001 | S2:820026002
20027	[力]西野花	ニシノフラワー	2	1	2	card+chara_shared	S0:801051001,801051002,801051003 | S1:820027001 | S2:820027002
20028	[耐]荒漠英雄	ゼンノロブロイ	2	1	2	card+chara_shared	S0:801047001,801047002,801047003 | S1:820028001 | S2:820028002
20029	[根]采珠	シーキングザパール	2	1	2	card+chara_shared	S0:801042001,801042002,801042003 | S1:820029001 | S2:820029002
20030	[智]艾尼斯风神	アイネスフウジン	2	1	2	card+chara_shared	S0:801031001,801031002,801031003 | S1:820030001 | S2:820030002
20031	[速]新光风	シンコウウインディ	2	1	2	card+chara_shared	S0:801043001,801043002,801043003 | S1:820031001 | S2:820031002
20032	[力]稻荷一	イナリワン	2	1	2	card+chara_shared	S0:801034001,801034002,801034003 | S1:820032001 | S2:820032002
20033	[速]神鹰	エルコンドルパサー	2	1	2	card+chara_shared	S0:801014001,801014002,801014003 | S1:820033001 | S2:820033002
20034	[智]目白阿尔丹	メジロアルダン	2	1	2	card+chara_shared	S0:801071001,801071002,801071003 | S1:820034001 | S2:820034002
20035	[耐]东瀛佐敦	トーセンジョーダン	2	1	2	card+chara_shared	S0:801048001,801048002,801048003 | S1:820035001 | S2:820035002
20036		メジロパーマー	2	1	2	card+chara_shared	S0:801064001,801064002,801064003 | S1:820036001 | S2:820036002
20037	[力]美妙姿势	ファインモーション	2	1	2	card+chara_shared	S0:801022001,801022002,801022003 | S1:820037001 | S2:820037002
20038	[根]天狼星象征	シリウスシンボリ	2	1	2	card+chara_shared	S0:801070001,801070002,801070003 | S1:820038001 | S2:820038002
20039	[速]伏特加	ウオッカ	2	1	2	card+chara_shared	S0:801008001,801008002,801008003 | S1:820039001 | S2:820039002
20040	[耐]目白赖恩	メジロライアン	2	1	2	card+chara_shared	S0:801027001,801027002,801027003 | S1:820040001 | S2:820040002
20041	[根]爱慕织姬	アドマイヤベガ	2	1	2	card+chara_shared	S0:801033001,801033002,801033003 | S1:820041001 | S2:820041002
20042	[力]樱花进王	サクラバクシンオー	2	1	2	card+chara_shared	S0:801041001,801041002,801041003 | S1:820042001 | S2:820042002
20043	[力]特别周	スペシャルウィーク	2	1	2	card+chara_shared	S0:801001001,801001002,801001003 | S1:820043001 | S2:820043002
20044	[速]真机伶	カレンチャン	2	1	2	card+chara_shared	S0:801038001,801038002,801038003 | S1:820044001 | S2:820044002
20045	[根]醒目飞鹰	スマートファルコン	2	1	2	card+chara_shared	S0:801046001,801046002,801046003 | S1:820045001 | S2:820045002
20046	[智]东商变革	スイープトウショウ	2	1	2	card+chara_shared	S0:801044001,801044002,801044003 | S1:820046001 | S2:820046002
20047	[耐]东海帝王	トウカイテイオー	2	1	2	card+chara_shared	S0:801003001,801003002,801003003 | S1:820047001 | S2:820047002
20048	[根]小栗帽	オグリキャップ	2	1	2	card+chara_shared	S0:801006001,801006002,801006003 | S1:820048001 | S2:820048002
20049	[智]黄金城市	ゴールドシチー	2	1	2	card+chara_shared	S0:801040001,801040002,801040003 | S1:820049001 | S2:820049002
20050	[智]青云天空	セイウンスカイ	2	1	2	card+chara_shared	S0:801020001,801020002,801020003 | S1:820050001 | S2:820050002
20051	[根]凯斯奇迹	ケイエスミラクル	2	1	2	card+chara_shared	S0:801093001,801093002,801093003 | S1:820051001 | S2:820051002
20052	[根]鹤丸刚志	ツルマルツヨシ	2	1	2	card+chara_shared	S0:801073001,801073002,801073003 | S1:820052001 | S2:820052002
20053	[力]成田路	ナリタトップロード	2	1	2	card+chara_shared	S0:801077001,801077002,801077003 | S1:820053001 | S2:820053002
20054	[耐]好歌剧	テイエムオペラオー	2	1	2	card+chara_shared	S0:801015001,801015002,801015003 | S1:820054001 | S2:820054002
20055	[速]真弓快车	アストンマーチャン	2	1	2	card+chara_shared	S0:801087001,801087002,801087003 | S1:820055001 | S2:820055002
20056	[速]森林宝穴	ジャングルポケット	2	1	2	card+chara_shared	S0:801094001,801094002,801094003 | S1:820056001 | S2:820056002
20057	[根]目白多伯	メジロドーベル	2	1	2	card+chara_shared	S0:801059001,801059002,801059003 | S1:820057001 | S2:820057002
20058	[耐]鲁道夫象征	シンボリルドルフ	2	1	2	card+chara_shared	S0:801017001,801017002,801017003 | S1:820058001 | S2:820058002
20059	[力]爱丽速子	アグネスタキオン	2	1	2	card+chara_shared	S0:801032001,801032002,801032003 | S1:820059001 | S2:820059002
20060	[力]菱曙	ヒシアケボノ	2	1	2	card+chara_shared	S0:801028001,801028002,801028003 | S1:820060001 | S2:820060002
20061	[耐]黄金船	ゴールドシップ	2	1	2	card+chara_shared	S0:801007001,801007002,801007003 | S1:820061001 | S2:820061002
20062	[智]丸善斯基	マルゼンスキー	2	1	2	card+chara_shared	S0:801004001,801004002,801004003 | S1:820062001 | S2:820062002
20063	[速]无声铃鹿	サイレンススズカ	2	1	2	card+chara_shared	S0:801002001,801002002,801002003 | S1:820063001 | S2:820063002
20064	[根]小林历奇	コパノリッキー	2	1	2	card+chara_shared	S0:801098001,801098002,801098003 | S1:820064001 | S2:820064002
20065	[力]草上飞	グラスワンダー	2	1	2	card+chara_shared	S0:801011001,801011002,801011003 | S1:820065001 | S2:820065002
20066	[耐]北部玄驹	キタサンブラック	2	1	2	card+chara_shared	S0:801068001,801068002,801068003 | S1:820066001 | S2:820066002
20067	[智]大树快车	タイキシャトル	2	1	2	card+chara_shared	S0:801010001,801010002,801010003 | S1:820067001 | S2:820067002
20068	[耐]优秀素质	ナイスネイチャ	2	1	2	card+chara_shared	S0:801060001,801060002,801060003 | S1:820068001 | S2:820068002
20069	[速]待兼诗歌剧	マチカネタンホイザ	2	1	2	card+chara_shared	S0:801062001,801062002,801062003 | S1:820069001 | S2:820069002
20070	[根]极峰	ヴィルシーナ	2	1	2	card+chara_shared	S0:801090001,801090002 | S1:820070001 | S2:820070002
20071	[力]莱斯莱斯	ロイスアンドロイス	2	1	2	card+chara_shared	S0:801103001,801103002 | S1:820071001 | S2:820071002
20072	[智]谷野美酒	タニノギムレット	2	1	2	card+chara_shared	S0:801084001,801084002,801084003 | S1:820072001 | S2:820072002
20073	[速]东瀛佐敦	トーセンジョーダン	2	1	2	card+chara_shared	S0:801048001,801048002,801048003 | S1:820073001 | S2:820073002
20074	[耐]八重无敌	ヤエノムテキ	2	1	2	card+chara_shared	S0:801072001,801072002,801072003 | S1:820074001 | S2:820074002
20075	[根]跳舞城	タップダンスシチー	2	1	2	card+chara_shared	S0:801107001,801107002 | S1:820075001 | S2:820075002
20076		エアシャカール	2	1	2	card+chara_shared	S0:801036001,801036002,801036003 | S1:820076001 | S2:820076002
20077		ダンツフレーム	2	1	2	card+chara_shared	S0:801092001,801092002 | S1:820077001 | S2:820077002
20078		マチカネフクキタル	2	1	2	card+chara_shared	S0:801056001,801056002,801056003 | S1:820078001 | S2:820078002
20079		マーベラスサンデー	2	1	2	card+chara_shared	S0:801055001,801055002,801055003 | S1:820079001 | S2:820079002
20080		サクラローレル	2	1	2	card+chara_shared	S0:801076001,801076002,801076003 | S1:820080001 | S2:820080002
20081		ノースフライト	2	1	2	card+chara_shared	S0:801082001,801082002 | S1:820081001 | S2:820081002
20082		バブルガムフェロー	2	1	2	card+chara_shared	S0:801124001,801124002 | S1:820082001 | S2:820082002
20083		メジロラモーヌ	2	1	2	card+chara_shared	S0:801086001,801086002,801086003 | S1:820083001 | S2:820083002
20084		ラッキーライラック	2	1	2	card+chara_shared	S0:801130001,801130002 | S1:820084001 | S2:820084002
20085		メジロマックイーン	2	1	2	card+chara_shared	S0:801013001,801013002,801013003 | S1:820085001 | S2:820085002
20086		ライスシャワー	2	1	2	card+chara_shared	S0:801030001,801030002,801030003 | S1:820086001 | S2:820086002
20087		デアリングハート	2	1	2	card+chara_shared	S0:801112001,801112002 | S1:820087001 | S2:820087002
20088		カレンブーケドール	2	1	2	card+chara_shared	S0:801134001,801134002 | S1:820088001 | S2:820088002
20089		カワカミプリンセス	2	1	2	card+chara_shared	S0:801039001,801039002,801039003 | S1:820089001 | S2:820089002
20090		ビコーペガサス	2	1	2	card+chara_shared	S0:801054001,801054002,801054003 | S1:820090001 | S2:820090002
20091		サクラチトセオー	2	1	2	card+chara_shared	S0:801126001,801126002 | S1:820091001 | S2:820091002
20092		ホッコータルマエ	2	1	2	card+chara_shared	S0:801099001,801099002 | S1:820092001 | S2:820092002
20093		メジロドーベル	2	1	2	card+chara_shared	S0:801059001,801059002,801059003 | S1:820093001 | S2:820093002
20094		サトノダイヤモンド	2	1	2	card+chara_shared	S0:801067001,801067002,801067003 | S1:820094001 | S2:820094002
20095		レッドディザイア	2	1	2	card+chara_shared	S0:801136001,801136002 | S1:820095001 | S2:820095002
20096		タイキシャトル	2	1	2	card+chara_shared	S0:801010001,801010002,801010003 | S1:820096001 | S2:820096002
20097		スーパークリーク	2	1	2	card+chara_shared	S0:801045001,801045002,801045003 | S1:820097001 | S2:820097002
20098		ヒシアマゾン	2	1	2	card+chara_shared	S0:801012001,801012002,801012003 | S1:820098001 | S2:820098002
20099		メジロアルダン	2	1	2	card+chara_shared	S0:801071001,801071002,801071003 | S1:820099001 | S2:820099002
30001	[根]特别周	スペシャルウィーク	3	1	3	card+chara_shared	S0:801001001,801001002,801001003 | S1:830001001 | S2:830001002 | S3:830001003
30002	[速]无声铃鹿	サイレンススズカ	3	1	3	card+chara_shared	S0:801002001,801002002,801002003 | S1:830002001 | S2:830002002 | S3:830002003
30003	[速]东海帝王	トウカイテイオー	3	1	3	card+chara_shared	S0:801003001,801003002,801003003 | S1:830003001 | S2:830003002 | S3:830003003
30004	[耐]黄金船	ゴールドシップ	3	1	3	card+chara_shared	S0:801007001,801007002,801007003 | S1:830004001 | S2:830004002 | S3:830004003
