赛马娘：评价分、属性分、等级阈值、技能价格完整整理
生成日期：2026-07-20

【0. 适用范围与来源】
- master.mdb SHA-256: b387ffd16d0ee2c28ed9a1711049a3635c204fc72b652f616e7a199c698c51f0
- 属性分来源: hzyhhzy/UmaAi / Cook2 / 2b06fb9 / UmaSimulator/GameDatabase/GameConstants.cpp / FiveStatusFinalScore
- 等级阈值来源: master.mdb.single_mode_rank（298行）
- 技能名来源: master.mdb.text_data(category=47)
- 技能基础评价分来源: master.mdb.skill_data.grade_value
- 技能原价来源: master.mdb.single_mode_skill_need_point.need_skill_point
- 本文件使用制表符分列，是人可读且可直接按TSV解析的TXT；未生成混合型大型JSON。

【1. 总评价结构】
总评价 = 五维属性评价分之和 + 已学技能评价分 + 固有技能等其他评价项 + 结算规则中的剩余技能Pt评价。
五维属性（速度/耐力/力量/根性/智力）共用同一张 FiveStatusFinalScore 查表。
技能 Hint 与“切れ者”改变的是购买技能所需技能Pt，不直接改变该技能的 grade_value。
注意：下方 grade_value 是MDB中的技能基础评价值；适性、技能替换/上下位、固有等级等最终结算规则须在模拟器中另行处理。

【2. Hint与切れ者折扣】
Hint Lv0: 原价100%；Lv1: 90%；Lv2: 80%；Lv3: 70%；Lv4: 65%；Lv5: 60%。
切れ者: 在Hint折扣后的价格基础上再减10%，即再乘0.9；例如Hint后为原价50%时，切れ者后约为原价45%。
重要：精确整数取整顺序仍须用客户端逻辑/实机边界样本核验；在完成该核验前，不把浮点近似冒充逐点实机价格。

【3. 完整属性评价分表：0～2800】
属性值	单项属性评价分	相对上一点增量
503	856	3
504	859	3
505	862	3
506	865	3
507	868	3
508	871	3
509	874	3
510	876	2
511	879	3
512	882	3
513	885	3
514	888	3
515	891	3
516	894	3
517	897	3
518	900	3
519	903	3
520	905	2
521	908	3
522	911	3
523	914	3
524	917	3
525	920	3
526	923	3
527	926	3
528	929	3
529	932	3
530	934	2
531	937	3
532	940	3
533	943	3
534	946	3
535	949	3
536	952	3
537	955	3
538	958	3
539	961	3
540	963	2
541	966	3
542	969	3
543	972	3
544	975	3
545	978	3
546	981	3
547	984	3
548	987	3
549	990	3
550	993	3
551	996	3
552	999	3
553	1002	3
554	1005	3
555	1008	3
556	1011	3
557	1014	3
558	1017	3
559	1020	3
560	1023	3
561	1026	3
562	1029	3
563	1032	3
564	1035	3
565	1038	3
566	1041	3
567	1044	3
568	1047	3
569	1050	3
570	1053	3
571	1056	3
572	1059	3
573	1062	3
574	1065	3
575	1068	3
576	1071	3
577	1074	3
578	1077	3
579	1080	3
580	1083	3
581	1086	3
582	1089	3
583	1092	3
584	1095	3
585	1098	3
586	1101	3
587	1104	3
588	1107	3
589	1110	3
590	1113	3
591	1116	3
592	1119	3
593	1122	3
594	1125	3
595	1128	3
596	1131	3
597	1134	3
598	1137	3
599	1140	3
600	1143	3
601	1146	3
602	1149	3
603	1152	3
604	1155	3
605	1158	3
606	1161	3
607	1164	3
608	1167	3
609	1171	4
610	1174	3
611	1177	3
612	1180	3
613	1183	3
614	1186	3
615	1189	3
616	1192	3
617	1195	3
618	1198	3
619	1202	4
620	1205	3
621	1208	3
622	1211	3
623	1214	3
624	1217	3
625	1220	3
626	1223	3
627	1226	3
628	1229	3
629	1233	4
630	1236	3
631	1239	3
632	1242	3
633	1245	3
634	1248	3
635	1251	3
636	1254	3
637	1257	3
638	1260	3
639	1264	4
640	1267	3
641	1270	3
642	1273	3
643	1276	3
644	1279	3
645	1282	3
646	1285	3
647	1288	3
648	1291	3
649	1295	4
650	1298	3
651	1301	3
652	1304	3
653	1308	4
654	1311	3
655	1314	3
656	1318	4
657	1321	3
658	1324	3
659	1328	4
660	1331	3
661	1334	3
662	1337	3
663	1341	4
664	1344	3
665	1347	3
666	1351	4
667	1354	3
668	1357	3
669	1361	4
670	1364	3
671	1367	3
672	1370	3
673	1374	4
674	1377	3
675	1380	3
676	1384	4
677	1387	3
678	1390	3
679	1394	4
680	1397	3
681	1400	3
682	1403	3
683	1407	4
684	1410	3
685	1413	3
686	1417	4
687	1420	3
688	1423	3
689	1427	4
690	1430	3
691	1433	3
692	1436	3
693	1440	4
694	1443	3
695	1446	3
696	1450	4
697	1453	3
698	1456	3
699	1460	4
700	1463	3
701	1466	3
702	1470	4
703	1473	3
704	1477	4
705	1480	3
706	1483	3
707	1487	4
708	1490	3
709	1494	4
710	1497	3
711	1500	3
712	1504	4
713	1507	3
714	1511	4
715	1514	3
716	1517	3
717	1521	4
718	1524	3
719	1528	4
720	1531	3
721	1534	3
722	1538	4
723	1541	3
724	1545	4
725	1548	3
726	1551	3
727	1555	4
728	1558	3
729	1562	4
730	1565	3
731	1568	3
732	1572	4
733	1575	3
734	1579	4
735	1582	3
736	1585	3
737	1589	4
738	1592	3
739	1596	4
740	1599	3
741	1602	3
742	1606	4
743	1609	3
744	1613	4
745	1616	3
746	1619	3
747	1623	4
748	1626	3
749	1630	4
750	1633	3
751	1637	4
752	1640	3
753	1644	4
754	1647	3
755	1651	4
756	1654	3
757	1658	4
758	1661	3
759	1665	4
760	1668	3
761	1672	4
762	1675	3
763	1679	4
764	1682	3
765	1686	4
766	1689	3
767	1693	4
768	1696	3
769	1700	4
770	1703	3
771	1707	4
772	1710	3
773	1714	4
774	1717	3
775	1721	4
776	1724	3
777	1728	4
778	1731	3
779	1735	4
780	1738	3
781	1742	4
782	1745	3
783	1749	4
784	1752	3
785	1756	4
786	1759	3
787	1763	4
788	1766	3
789	1770	4
790	1773	3
791	1777	4
792	1780	3
793	1784	4
794	1787	3
795	1791	4
796	1794	3
797	1798	4
798	1801	3
799	1805	4
800	1808	3
801	1812	4
802	1816	4
803	1820	4
804	1824	4
805	1828	4
806	1832	4
807	1836	4
808	1840	4
809	1844	4
810	1847	3
811	1851	4
812	1855	4
813	1859	4
814	1863	4
815	1867	4
816	1871	4
817	1875	4
818	1879	4
819	1883	4
820	1886	3
821	1890	4
822	1894	4
823	1898	4
824	1902	4
825	1906	4
826	1910	4
827	1914	4
828	1918	4
829	1922	4
830	1925	3
831	1929	4
832	1933	4
833	1937	4
834	1941	4
835	1945	4
836	1949	4
837	1953	4
838	1957	4
839	1961	4
840	1964	3
841	1968	4
842	1972	4
843	1976	4
844	1980	4
845	1984	4
846	1988	4
847	1992	4
848	1996	4
849	2000	4
850	2004	4
851	2008	4
852	2012	4
853	2016	4
854	2020	4
855	2024	4
856	2028	4
857	2032	4
858	2036	4
859	2041	5
860	2045	4
861	2049	4
862	2053	4
863	2057	4
864	2061	4
865	2065	4
866	2069	4
867	2073	4
868	2077	4
869	2082	5
870	2086	4
871	2090	4
872	2094	4
873	2098	4
874	2102	4
875	2106	4
876	2110	4
877	2114	4
878	2118	4
879	2123	5
880	2127	4
881	2131	4
882	2135	4
883	2139	4
884	2143	4
885	2147	4
886	2151	4
887	2155	4
888	2159	4
889	2164	5
890	2168	4
891	2172	4
892	2176	4
893	2180	4
894	2184	4
895	2188	4
896	2192	4
897	2196	4
898	2200	4
899	2205	5
900	2209	4
901	2213	4
902	2217	4
903	2221	4
904	2226	5
905	2230	4
906	2234	4
907	2238	4
908	2242	4
909	2247	5
910	2251	4
911	2255	4
912	2259	4
913	2263	4
914	2268	5
915	2272	4
916	2276	4
917	2280	4
918	2284	4
919	2289	5
920	2293	4
921	2297	4
922	2301	4
923	2305	4
924	2310	5
925	2314	4
926	2318	4
927	2322	4
928	2326	4
929	2331	5
930	2335	4
931	2339	4
932	2343	4
933	2347	4
934	2352	5
935	2356	4
936	2360	4
937	2364	4
938	2368	4
939	2373	5
940	2377	4
941	2381	4
942	2385	4
943	2389	4
944	2394	5
945	2398	4
946	2402	4
947	2406	4
948	2410	4
949	2415	5
950	2419	4
951	2423	4
952	2427	4
953	2432	5
954	2436	4
955	2440	4
956	2445	5
957	2449	4
958	2453	4
959	2458	5
960	2462	4
961	2466	4
962	2470	4
963	2475	5
964	2479	4
965	2483	4
966	2488	5
967	2492	4
968	2496	4
969	2501	5
970	2505	4
971	2509	4
972	2513	4
973	2518	5
974	2522	4
975	2526	4
976	2531	5
977	2535	4
978	2539	4
979	2544	5
980	2548	4
981	2552	4
982	2556	4
983	2561	5
984	2565	4
985	2569	4
986	2574	5
987	2578	4
988	2582	4
989	2587	5
990	2591	4
991	2595	4
992	2599	4
993	2604	5
994	2608	4
995	2612	4
996	2617	5
997	2621	4
998	2625	4
999	2630	5
1000	2635	5
1001	2640	5
1002	2645	5
1003	2650	5
1004	2656	6
1005	2661	5
1006	2666	5
1007	2671	5
1008	2676	5
1009	2682	6
1010	2687	5
1011	2692	5
1012	2697	5
1013	2702	5
1014	2708	6
1015	2713	5
1016	2718	5
1017	2723	5
1018	2728	5
1019	2734	6
1020	2739	5
1021	2744	5
1022	2749	5
1023	2754	5
1024	2760	6
1025	2765	5
1026	2770	5
1027	2775	5
1028	2780	5
1029	2786	6
1030	2791	5
1031	2796	5
1032	2801	5
1033	2806	5
1034	2812	6
1035	2817	5
1036	2822	5
1037	2827	5
1038	2832	5
1039	2838	6
1040	2843	5
1041	2848	5
1042	2853	5
1043	2858	5
1044	2864	6
1045	2869	5
1046	2874	5
1047	2879	5
1048	2884	5
1049	2890	6
1050	2895	5
1051	2901	6
1052	2906	5
1053	2912	6
1054	2917	5
1055	2923	6
1056	2928	5
1057	2934	6
1058	2939	5
1059	2945	6
1060	2950	5
1061	2956	6
1062	2961	5
1063	2967	6
1064	2972	5
1065	2978	6
1066	2983	5
1067	2989	6
1068	2994	5
1069	3000	6
1070	3005	5
1071	3011	6
1072	3016	5
1073	3022	6
1074	3027	5
1075	3033	6
1076	3038	5
1077	3044	6
1078	3049	5
1079	3055	6
1080	3060	5
1081	3066	6
1082	3071	5
1083	3077	6
1084	3082	5
1085	3088	6
1086	3093	5
1087	3099	6
1088	3104	5
1089	3110	6
1090	3115	5
1091	3121	6
1092	3126	5
1093	3132	6
1094	3137	5
1095	3143	6
1096	3148	5
1097	3154	6
1098	3159	5
1099	3165	6
1100	3171	6
1101	3178	7
1102	3184	6
1103	3191	7
1104	3198	7
1105	3204	6
1106	3211	7
1107	3217	6
1108	3224	7
1109	3231	7
1110	3237	6
1111	3244	7
1112	3250	6
1113	3257	7
1114	3264	7
1115	3270	6
1116	3277	7
1117	3283	6
1118	3290	7
1119	3297	7
1120	3303	6
1121	3310	7
1122	3316	6
1123	3323	7
1124	3330	7
1125	3336	6
1126	3343	7
1127	3349	6
1128	3356	7
1129	3363	7
1130	3369	6
1131	3376	7
1132	3382	6
1133	3389	7
1134	3396	7
1135	3402	6
1136	3409	7
1137	3415	6
1138	3422	7
1139	3429	7
1140	3435	6
1141	3442	7
1142	3448	6
1143	3455	7
1144	3462	7
1145	3468	6
1146	3475	7
1147	3481	6
1148	3488	7
1149	3495	7
1150	3501	6
1151	3508	7
1152	3515	7
1153	3522	7
1154	3529	7
1155	3535	6
1156	3542	7
1157	3549	7
1158	3556	7
1159	3563	7
1160	3569	6
1161	3576	7
1162	3583	7
1163	3590	7
1164	3597	7
1165	3603	6
1166	3610	7
1167	3617	7
1168	3624	7
1169	3631	7
1170	3637	6
1171	3644	7
1172	3651	7
1173	3658	7
1174	3665	7
1175	3671	6
1176	3678	7
1177	3685	7
1178	3692	7
1179	3699	7
1180	3705	6
1181	3712	7
1182	3719	7
1183	3726	7
1184	3733	7
1185	3739	6
1186	3746	7
1187	3753	7
1188	3760	7
1189	3767	7
1190	3773	6
1191	3780	7
1192	3787	7
1193	3794	7
1194	3801	7
1195	3807	6
1196	3814	7
1197	3821	7
1198	3828	7
1199	3835	7
1200	3841	6
1201	3841	0
1202	3849	8
1203	3849	0
1204	3857	8
1205	3857	0
1206	3865	8
1207	3865	0
1208	3873	8
1209	3873	0
1210	3881	8
1211	3881	0
1212	3889	8
1213	3889	0
1214	3897	8
1215	3897	0
1216	3905	8
1217	3905	0
1218	3912	7
1219	3912	0
1220	3920	8
1221	3920	0
1222	3928	8
1223	3928	0
1224	3936	8
1225	3936	0
1226	3944	8
1227	3944	0
1228	3952	8
1229	3952	0
1230	3960	8
1231	3960	0
1232	3968	8
1233	3968	0
1234	3976	8
1235	3976	0
1236	3984	8
1237	3984	0
1238	3992	8
1239	3992	0
1240	4001	9
1241	4001	0
1242	4009	8
1243	4009	0
1244	4017	8
1245	4017	0
1246	4025	8
1247	4025	0
1248	4033	8
1249	4033	0
1250	4041	8
1251	4041	0
1252	4049	8
1253	4049	0
1254	4057	8
1255	4057	0
1256	4065	8
1257	4065	0
1258	4073	8
1259	4073	0
1260	4082	9
1261	4082	0
1262	4090	8
1263	4090	0
1264	4098	8
1265	4098	0
1266	4107	9
1267	4107	0
1268	4115	8
1269	4115	0
1270	4123	8
1271	4123	0
1272	4132	9
1273	4132	0
1274	4140	8
1275	4140	0
1276	4148	8
1277	4148	0
1278	4156	8
1279	4156	0
1280	4165	9
1281	4165	0
1282	4173	8
1283	4173	0
1284	4182	9
1285	4182	0
1286	4190	8
1287	4190	0
1288	4198	8
1289	4198	0
1290	4207	9
1291	4207	0
1292	4215	8
1293	4215	0
1294	4224	9
1295	4224	0
1296	4232	8
1297	4232	0
1298	4240	8
1299	4240	0
1300	4249	9
1301	4249	0
1302	4257	8
1303	4257	0
1304	4266	9
1305	4266	0
1306	4274	8
1307	4274	0
1308	4283	9
1309	4283	0
1310	4291	8
1311	4291	0
1312	4300	9
1313	4300	0
1314	4308	8
1315	4308	0
1316	4317	9
1317	4317	0
1318	4325	8
1319	4325	0
1320	4334	9
1321	4334	0
1322	4343	9
1323	4343	0
1324	4351	8
1325	4351	0
1326	4360	9
1327	4360	0
1328	4368	8
1329	4368	0
1330	4377	9
1331	4377	0
1332	4386	9
1333	4386	0
1334	4394	8
1335	4394	0
1336	4403	9
1337	4403	0
1338	4411	8
1339	4411	0
1340	4420	9
1341	4420	0
1342	4429	9
1343	4429	0
1344	4438	9
1345	4438	0
1346	4447	9
1347	4447	0
1348	4455	8
1349	4455	0
1350	4464	9
1351	4464	0
1352	4473	9
1353	4473	0
1354	4482	9
1355	4482	0
1356	4491	9
1357	4491	0
1358	4499	8
1359	4499	0
1360	4508	9
1361	4508	0
1362	4517	9
1363	4517	0
1364	4526	9
1365	4526	0
1366	4535	9
1367	4535	0
1368	4544	9
1369	4544	0
1370	4553	9
1371	4553	0
1372	4562	9
1373	4562	0
1374	4571	9
1375	4571	0
1376	4580	9
1377	4580	0
1378	4588	8
1379	4588	0
1380	4597	9
1381	4597	0
1382	4606	9
1383	4606	0
1384	4615	9
1385	4615	0
1386	4624	9
1387	4624	0
1388	4633	9
1389	4633	0
1390	4642	9
1391	4642	0
1392	4651	9
1393	4651	0
1394	4660	9
1395	4660	0
1396	4669	9
1397	4669	0
1398	4678	9
1399	4678	0
1400	4688	10
1401	4688	0
1402	4697	9
1403	4697	0
1404	4706	9
1405	4706	0
1406	4715	9
1407	4715	0
1408	4724	9
1409	4724	0
1410	4734	10
1411	4734	0
1412	4743	9
1413	4743	0
1414	4752	9
1415	4752	0
1416	4761	9
1417	4761	0
1418	4770	9
1419	4770	0
1420	4780	10
1421	4780	0
1422	4789	9
1423	4789	0
1424	4798	9
1425	4798	0
1426	4808	10
1427	4808	0
1428	4817	9
1429	4817	0
1430	4826	9
1431	4826	0
1432	4836	10
1433	4836	0
1434	4845	9
1435	4845	0
1436	4854	9
1437	4854	0
1438	4863	9
1439	4863	0
1440	4873	10
1441	4873	0
1442	4882	9
1443	4882	0
1444	4892	10
1445	4892	0
1446	4901	9
1447	4901	0
1448	4910	9
1449	4910	0
1450	4920	10
1451	4920	0
1452	4929	9
1453	4929	0
1454	4939	10
1455	4939	0
1456	4948	9
1457	4948	0
1458	4957	9
1459	4957	0
1460	4967	10
1461	4967	0
1462	4977	10
1463	4977	0
1464	4986	9
1465	4986	0
1466	4996	10
1467	4996	0
1468	5005	9
1469	5005	0
1470	5015	10
1471	5015	0
1472	5025	10
1473	5025	0
1474	5034	9
1475	5034	0
1476	5044	10
1477	5044	0
1478	5053	9
1479	5053	0
1480	5063	10
1481	5063	0
1482	5073	10
1483	5073	0
1484	5083	10
1485	5083	0
1486	5092	9
1487	5092	0
1488	5102	10
1489	5102	0
1490	5112	10
1491	5112	0
1492	5121	9
1493	5121	0
1494	5131	10
1495	5131	0
1496	5141	10
1497	5141	0
1498	5150	9
1499	5150	0
1500	5160	10
1501	5160	0
1502	5170	10
1503	5170	0
1504	5180	10
1505	5180	0
1506	5190	10
1507	5190	0
1508	5199	9
1509	5199	0
1510	5209	10
1511	5209	0
1512	5219	10
1513	5219	0
1514	5229	10
1515	5229	0
1516	5239	10
1517	5239	0
1518	5248	9
1519	5248	0
1520	5258	10
1521	5258	0
1522	5268	10
1523	5268	0
1524	5278	10
1525	5278	0
1526	5288	10
1527	5288	0
1528	5298	10
1529	5298	0
1530	5308	10
1531	5308	0
1532	5318	10
1533	5318	0
1534	5328	10
1535	5328	0
1536	5338	10
1537	5338	0
1538	5348	10
1539	5348	0
1540	5359	11
1541	5359	0
1542	5369	10
1543	5369	0
1544	5379	10
1545	5379	0
1546	5389	10
1547	5389	0
1548	5399	10
1549	5399	0
1550	5409	10
1551	5409	0
1552	5419	10
1553	5419	0
1554	5429	10
1555	5429	0
1556	5439	10
1557	5439	0
1558	5449	10
1559	5449	0
1560	5460	11
1561	5460	0
1562	5470	10
1563	5470	0
1564	5480	10
1565	5480	0
1566	5490	10
1567	5490	0
1568	5500	10
1569	5500	0
1570	5511	11
1571	5511	0
1572	5521	10
1573	5521	0
1574	5531	10
1575	5531	0
1576	5541	10
1577	5541	0
1578	5551	10
1579	5551	0
1580	5562	11
1581	5562	0
1582	5572	10
1583	5572	0
1584	5582	10
1585	5582	0
1586	5593	11
1587	5593	0
1588	5603	10
1589	5603	0
1590	5613	10
1591	5613	0
1592	5624	11
1593	5624	0
1594	5634	10
1595	5634	0
1596	5644	10
1597	5644	0
1598	5654	10
1599	5654	0
1600	5665	11
1601	5665	0
1602	5675	10
1603	5675	0
1604	5686	11
1605	5686	0
1606	5696	10
1607	5696	0
1608	5707	11
1609	5707	0
1610	5717	10
1611	5717	0
1612	5728	11
1613	5728	0
1614	5738	10
1615	5738	0
1616	5749	11
1617	5749	0
1618	5759	10
1619	5759	0
1620	5770	11
1621	5770	0
1622	5781	11
1623	5781	0
1624	5791	10
1625	5791	0
1626	5802	11
1627	5802	0
1628	5812	10
1629	5812	0
1630	5823	11
1631	5823	0
1632	5834	11
1633	5834	0
1634	5844	10
1635	5844	0
1636	5855	11
1637	5855	0
1638	5865	10
1639	5865	0
1640	5876	11
1641	5876	0
1642	5887	11
1643	5887	0
1644	5898	11
1645	5898	0
1646	5908	10
1647	5908	0
1648	5919	11
1649	5919	0
1650	5930	11
1651	5930	0
1652	5940	10
1653	5940	0
1654	5951	11
1655	5951	0
1656	5962	11
1657	5962	0
1658	5972	10
1659	5972	0
1660	5983	11
1661	5983	0
1662	5994	11
1663	5994	0
1664	6005	11
1665	6005	0
1666	6016	11
1667	6016	0
1668	6027	11
1669	6027	0
1670	6038	11
1671	6038	0
1672	6049	11
1673	6049	0
1674	6060	11
1675	6060	0
1676	6071	11
1677	6071	0
1678	6081	10
1679	6081	0
1680	6092	11
1681	6092	0
1682	6103	11
1683	6103	0
1684	6114	11
1685	6114	0
1686	6125	11
1687	6125	0
1688	6136	11
1689	6136	0
1690	6147	11
1691	6147	0
1692	6158	11
1693	6158	0
1694	6169	11
1695	6169	0
1696	6180	11
1697	6180	0
1698	6191	11
1699	6191	0
1700	6203	12
1701	6203	0
1702	6214	11
1703	6214	0
1704	6225	11
1705	6225	0
1706	6236	11
1707	6236	0
1708	6247	11
1709	6247	0
1710	6258	11
1711	6258	0
1712	6269	11
1713	6269	0
1714	6280	11
1715	6280	0
1716	6291	11
1717	6291	0
1718	6302	11
1719	6302	0
1720	6314	12
1721	6314	0
1722	6325	11
1723	6325	0
1724	6336	11
1725	6336	0
1726	6348	12
1727	6348	0
1728	6359	11
1729	6359	0
1730	6370	11
1731	6370	0
1732	6382	12
1733	6382	0
1734	6393	11
1735	6393	0
1736	6404	11
1737	6404	0
1738	6415	11
1739	6415	0
1740	6427	12
1741	6427	0
1742	6438	11
1743	6438	0
1744	6450	12
